title_term,title_df,title_cf,title_idf
天,3,3,1.9208187539523751
缕,1,1,2.397940008672037
籍,1,1,2.397940008672037
和,4,4,1.7958800173440752
娘,1,1,2.397940008672037
内,1,1,2.397940008672037
外,4,5,1.7958800173440752
楼,10,10,1.3979400086720375
近,2,2,2.0969100130080562
程,1,1,2.397940008672037
故,2,2,2.0969100130080562
鹿,1,1,2.397940008672037
馆,2,2,2.0969100130080562
使,3,3,1.9208187539523751
武,2,2,2.0969100130080562
轮,1,1,2.397940008672037
末,1,1,2.397940008672037
器,1,1,2.397940008672037
君,2,2,2.0969100130080562
重,2,2,2.0969100130080562
闻,2,2,2.0969100130080562
受,1,1,2.397940008672037
汀,1,1,2.397940008672037
判,2,2,2.0969100130080562
篥,1,1,2.397940008672037
园,1,1,2.397940008672037
终,3,3,1.9208187539523751
省,2,2,2.0969100130080562
庙,3,3,1.9208187539523751
六,2,2,2.0969100130080562
渡,3,3,1.9208187539523751
饯,2,2,2.0969100130080562
洲,1,1,2.397940008672037
山,19,20,1.1191864077192084
干,1,1,2.397940008672037
高,1,1,2.397940008672037
丽,1,1,2.397940008672037
明,3,3,1.9208187539523751
观,3,3,1.9208187539523751
子,5,5,1.6989700043360185
全,1,1,2.397940008672037
四,4,4,1.7958800173440752
晚,1,1,2.397940008672037
宫,8,8,1.494850021680094
下,4,4,1.7958800173440752
竹,1,1,2.397940008672037
龟,1,1,2.397940008672037
常,1,1,2.397940008672037
补,1,1,2.397940008672037
桐,1,1,2.397940008672037
姥,1,1,2.397940008672037
县,1,1,2.397940008672037
路,3,3,1.9208187539523751
魏,1,1,2.397940008672037
耶,1,1,2.397940008672037
若,1,1,2.397940008672037
峡,1,1,2.397940008672037
雨,6,6,1.6197887582883939
东,3,4,1.9208187539523751
侍,2,2,2.0969100130080562
韦,1,1,2.397940008672037
其,3,3,1.9208187539523751
秋,10,11,1.3979400086720375
将,5,5,1.6989700043360185
序,3,3,1.9208187539523751
颍,1,1,2.397940008672037
道,4,4,1.7958800173440752
曲,6,6,1.6197887582883939
泊,3,3,1.9208187539523751
部,1,1,2.397940008672037
夕,1,1,2.397940008672037
牛,1,1,2.397940008672037
梓,1,1,2.397940008672037
舍,5,5,1.6989700043360185
宣,1,1,2.397940008672037
桃,1,1,2.397940008672037
逢,2,2,2.0969100130080562
雁,1,1,2.397940008672037
口,2,2,2.0969100130080562
还,1,1,2.397940008672037
尉,1,1,2.397940008672037
渚,1,1,2.397940008672037
归,6,6,1.6197887582883939
绰,1,1,2.397940008672037
并,3,3,1.9208187539523751
桥,1,1,2.397940008672037
霸,1,1,2.397940008672037
怀,10,10,1.3979400086720375
悲,1,1,2.397940008672037
乡,2,2,2.0969100130080562
亭,1,1,2.397940008672037
肆,1,1,2.397940008672037
十,4,4,1.7958800173440752
兄,1,1,2.397940008672037
才,1,1,2.397940008672037
河,2,3,2.0969100130080562
哀,1,1,2.397940008672037
除,1,1,2.397940008672037
忆,3,3,1.9208187539523751
旧,1,1,2.397940008672037
萝,1,1,2.397940008672037
月,7,7,1.5528419686577806
弹,2,2,2.0969100130080562
田,1,1,2.397940008672037
